model,panel,level,step,tokens,params,sf_y_swap,score_mode,category,n,correct,accuracy
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,__overall__,300,89,0.296667
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,arc_challenge,50,7,0.140000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,arc_easy,50,20,0.400000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,boolq,50,26,0.520000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,hellaswag,50,11,0.220000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,openbookqa,50,8,0.160000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,sciq,50,17,0.340000
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,__overall__,2048,646,0.315430
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_boolean_expressions,145,86,0.593103
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_causal_judgement,146,74,0.506849
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_date_understanding,145,17,0.117241
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_disambiguation_qa,142,56,0.394366
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_formal_fallacies,151,62,0.410596
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_logical_deduction_five_objects,150,36,0.240000
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_logical_deduction_seven_objects,149,22,0.147651
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_logical_deduction_three_objects,146,47,0.321918
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,22,0.146667
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,19,0.139706
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,44,0.293333
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_web_of_lies,143,79,0.552448
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,folio,150,54,0.360000
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,reclor,145,28,0.193103
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,__overall__,300,103,0.343333
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,arc_challenge,50,9,0.180000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,arc_easy,50,21,0.420000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,boolq,50,28,0.560000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,hellaswag,50,12,0.240000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,openbookqa,50,11,0.220000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,sciq,50,22,0.440000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,__overall__,300,91,0.303333
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,arc_challenge,50,14,0.280000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,arc_easy,50,20,0.400000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,boolq,50,25,0.500000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,hellaswag,50,10,0.200000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,openbookqa,50,9,0.180000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,sciq,50,13,0.260000
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,__overall__,2048,645,0.314941
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_boolean_expressions,145,86,0.593103
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_causal_judgement,146,71,0.486301
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_date_understanding,145,28,0.193103
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,40,0.281690
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_formal_fallacies,151,62,0.410596
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,33,0.220000
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,16,0.107383
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,45,0.308219
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,29,0.193333
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,18,0.132353
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,49,0.326667
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_web_of_lies,143,78,0.545455
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,folio,150,62,0.413333
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,reclor,145,28,0.193103
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,__overall__,300,81,0.270000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,arc_challenge,50,10,0.200000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,arc_easy,50,20,0.400000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,boolq,50,13,0.260000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,hellaswag,50,13,0.260000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,openbookqa,50,9,0.180000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,sciq,50,16,0.320000
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,__overall__,2048,685,0.334473
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_boolean_expressions,145,75,0.517241
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_causal_judgement,146,76,0.520548
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_date_understanding,145,27,0.186207
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,55,0.387324
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_formal_fallacies,151,89,0.589404
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,31,0.206667
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,20,0.134228
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,52,0.356164
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,28,0.186667
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,18,0.132353
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,52,0.346667
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_web_of_lies,143,75,0.524476
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,reclor,145,33,0.227586
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,__overall__,300,105,0.350000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,arc_challenge,50,13,0.260000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,arc_easy,50,21,0.420000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,boolq,50,31,0.620000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,hellaswag,50,13,0.260000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,openbookqa,50,10,0.200000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,sciq,50,17,0.340000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,__overall__,2048,641,0.312988
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_boolean_expressions,145,55,0.379310
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_causal_judgement,146,80,0.547945
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_date_understanding,145,31,0.213793
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,47,0.330986
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_formal_fallacies,151,69,0.456954
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,34,0.226667
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,22,0.147651
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,50,0.342466
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,31,0.206667
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,19,0.139706
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,48,0.320000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_web_of_lies,143,72,0.503497
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,reclor,145,29,0.200000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,__overall__,300,100,0.333333
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,arc_challenge,50,15,0.300000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,arc_easy,50,21,0.420000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,boolq,50,27,0.540000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,hellaswag,50,13,0.260000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,openbookqa,50,7,0.140000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,sciq,50,17,0.340000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,__overall__,2048,657,0.320801
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_boolean_expressions,145,77,0.531034
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_causal_judgement,146,73,0.500000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_date_understanding,145,18,0.124138
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,55,0.387324
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_formal_fallacies,151,83,0.549669
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,30,0.200000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,20,0.134228
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,48,0.328767
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,35,0.233333
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,19,0.139706
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,43,0.286667
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_web_of_lies,143,72,0.503497
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,reclor,145,30,0.206897
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,__overall__,300,92,0.306667
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,arc_challenge,50,11,0.220000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,arc_easy,50,21,0.420000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,boolq,50,19,0.380000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,hellaswag,50,12,0.240000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,openbookqa,50,8,0.160000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,sciq,50,21,0.420000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,__overall__,2048,627,0.306152
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_boolean_expressions,145,64,0.441379
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_causal_judgement,146,66,0.452055
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_date_understanding,145,24,0.165517
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,43,0.302817
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_formal_fallacies,151,89,0.589404
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,27,0.180000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,27,0.181208
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,45,0.308219
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,24,0.160000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,15,0.110294
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,43,0.286667
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_web_of_lies,143,73,0.510490
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,reclor,145,33,0.227586
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,__overall__,300,96,0.320000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,arc_challenge,50,10,0.200000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,arc_easy,50,23,0.460000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,boolq,50,21,0.420000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,hellaswag,50,11,0.220000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,openbookqa,50,9,0.180000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,sciq,50,22,0.440000
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,__overall__,2048,666,0.325195
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_boolean_expressions,145,86,0.593103
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_causal_judgement,146,73,0.500000
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_date_understanding,145,30,0.206897
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,40,0.281690
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_formal_fallacies,151,89,0.589404
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,29,0.193333
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,21,0.140940
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,46,0.315068
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,33,0.220000
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,13,0.095588
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,46,0.306667
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_web_of_lies,143,75,0.524476
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,reclor,145,31,0.213793
emender,knowledge,E97,150500,1232896000,1286589072,1,full-sequence,__overall__,300,89,0.296667
emender,knowledge,E97,150500,1232896000,1286589072,1,full-sequence,arc_challenge,50,13,0.260000
emender,knowledge,E97,150500,1232896000,1286589072,1,full-sequence,arc_easy,50,20,0.400000
emender,knowledge,E97,150500,1232896000,1286589072,1,full-sequence,boolq,50,18,0.360000
emender,knowledge,E97,150500,1232896000,1286589072,1,full-sequence,hellaswag,50,11,0.220000
emender,knowledge,E97,150500,1232896000,1286589072,1,full-sequence,openbookqa,50,10,0.200000
emender,knowledge,E97,150500,1232896000,1286589072,1,full-sequence,sciq,50,17,0.340000
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,__overall__,2048,668,0.326172
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_boolean_expressions,145,83,0.572414
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_causal_judgement,146,65,0.445205
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_date_understanding,145,28,0.193103
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,49,0.345070
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_formal_fallacies,151,86,0.569536
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,26,0.173333
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,27,0.181208
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,44,0.301370
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,31,0.206667
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,17,0.125000
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,47,0.313333
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,bbh_web_of_lies,143,83,0.580420
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,150500,1232896000,1286589072,1,full-sequence,reclor,145,28,0.193103
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,__overall__,2048,653,0.318848
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_boolean_expressions,145,85,0.586207
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_causal_judgement,146,75,0.513699
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_date_understanding,145,32,0.220690
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_disambiguation_qa,142,50,0.352113
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_formal_fallacies,151,62,0.410596
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_logical_deduction_five_objects,150,32,0.213333
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_logical_deduction_seven_objects,149,24,0.161074
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_logical_deduction_three_objects,146,51,0.349315
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,25,0.166667
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,18,0.132353
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,43,0.286667
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_web_of_lies,143,70,0.489510
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,folio,150,54,0.360000
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,reclor,145,32,0.220690
gdn2,knowledge,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,__overall__,300,97,0.323333
gdn2,knowledge,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,arc_challenge,50,10,0.200000
gdn2,knowledge,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,arc_easy,50,22,0.440000
gdn2,knowledge,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,boolq,50,26,0.520000
gdn2,knowledge,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,hellaswag,50,11,0.220000
gdn2,knowledge,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,openbookqa,50,9,0.180000
gdn2,knowledge,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,sciq,50,19,0.380000
gdn2,reasoning,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,__overall__,2048,633,0.309082
gdn2,reasoning,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,bbh_boolean_expressions,145,72,0.496552
gdn2,reasoning,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,bbh_causal_judgement,146,75,0.513699
gdn2,reasoning,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,bbh_date_understanding,145,28,0.193103
gdn2,reasoning,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,bbh_disambiguation_qa,142,46,0.323944
gdn2,reasoning,gdn2-mlp,75000,614400000,1286713448,1,full-sequence,bbh_formal_fallacies,151,78,0.516556
