model,panel,level,step,tokens,params,sf_y_swap,score_mode,category,n,correct,accuracy
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,__overall__,300,94,0.313333
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,arc_challenge,50,16,0.320000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,arc_easy,50,11,0.220000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,boolq,50,25,0.500000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,hellaswag,50,11,0.220000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,openbookqa,50,14,0.280000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,sciq,50,17,0.340000
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,__overall__,2048,626,0.305664
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_boolean_expressions,151,78,0.516556
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_causal_judgement,143,66,0.461538
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_date_understanding,146,29,0.198630
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,39,0.268966
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_formal_fallacies,147,71,0.482993
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,36,0.246575
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,16,0.106667
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,44,0.299320
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,144,26,0.180556
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,151,14,0.092715
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,47,0.313333
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_web_of_lies,140,76,0.542857
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,folio,147,57,0.387755
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,reclor,141,27,0.191489
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,__overall__,300,81,0.270000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,arc_challenge,50,15,0.300000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,arc_easy,50,12,0.240000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,boolq,50,17,0.340000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,hellaswag,50,10,0.200000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,openbookqa,50,11,0.220000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,sciq,50,16,0.320000
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,__overall__,2048,656,0.320312
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_boolean_expressions,151,77,0.509934
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_causal_judgement,143,68,0.475524
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_date_understanding,146,25,0.171233
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,53,0.365517
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_formal_fallacies,147,76,0.517007
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,33,0.226027
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,24,0.160000
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,48,0.326531
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,144,27,0.187500
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,151,20,0.132450
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,49,0.326667
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_web_of_lies,140,81,0.578571
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,folio,147,51,0.346939
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,reclor,141,24,0.170213
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,__overall__,300,92,0.306667
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,arc_challenge,50,16,0.320000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,arc_easy,50,11,0.220000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,boolq,50,24,0.480000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,hellaswag,50,11,0.220000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,openbookqa,50,12,0.240000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,sciq,50,18,0.360000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,__overall__,2048,614,0.299805
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_boolean_expressions,151,72,0.476821
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_causal_judgement,143,72,0.503497
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_date_understanding,146,29,0.198630
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,42,0.289655
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_formal_fallacies,147,71,0.482993
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,27,0.184932
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,22,0.146667
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,43,0.292517
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,144,22,0.152778
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,151,19,0.125828
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,48,0.320000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_web_of_lies,140,72,0.514286
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,folio,147,50,0.340136
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,reclor,141,25,0.177305
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,__overall__,300,96,0.320000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,arc_challenge,50,19,0.380000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,arc_easy,50,12,0.240000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,boolq,50,27,0.540000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,hellaswag,50,10,0.200000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,openbookqa,50,10,0.200000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,sciq,50,18,0.360000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,__overall__,2048,637,0.311035
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_boolean_expressions,151,74,0.490066
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_causal_judgement,143,72,0.503497
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_date_understanding,146,23,0.157534
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,50,0.344828
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_formal_fallacies,147,70,0.476190
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,24,0.164384
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,25,0.166667
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,47,0.319728
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,144,27,0.187500
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,151,22,0.145695
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,48,0.320000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_web_of_lies,140,81,0.578571
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,folio,147,51,0.346939
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,reclor,141,23,0.163121
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,__overall__,300,86,0.286667
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,arc_challenge,50,13,0.260000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,arc_easy,50,13,0.260000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,boolq,50,19,0.380000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,hellaswag,50,13,0.260000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,openbookqa,50,10,0.200000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,sciq,50,18,0.360000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,__overall__,2048,643,0.313965
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_boolean_expressions,151,69,0.456954
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_causal_judgement,143,69,0.482517
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_date_understanding,146,30,0.205479
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,48,0.331034
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_formal_fallacies,147,76,0.517007
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,30,0.205479
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,27,0.180000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,46,0.312925
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,144,25,0.173611
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,151,22,0.145695
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,48,0.320000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_web_of_lies,140,76,0.542857
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,folio,147,51,0.346939
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,reclor,141,26,0.184397
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,__overall__,300,92,0.306667
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,arc_challenge,50,12,0.240000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,arc_easy,50,14,0.280000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,boolq,50,26,0.520000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,hellaswag,50,14,0.280000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,openbookqa,50,8,0.160000
emender,knowledge,E97,129000,1056768000,1286589072,1,full-sequence,sciq,50,18,0.360000
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,__overall__,2048,650,0.317383
emender,reasoning,E97,129000,1056768000,1286589072,1,full-sequence,bbh_boolean_expressions,151,78,0.516556
