model,panel,level,step,tokens,params,sf_y_swap,score_mode,category,n,correct,accuracy
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,__overall__,300,95,0.316667
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,arc_challenge,50,16,0.320000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,arc_easy,50,11,0.220000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,boolq,50,26,0.520000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,hellaswag,50,11,0.220000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,openbookqa,50,14,0.280000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,sciq,50,17,0.340000
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,__overall__,2048,630,0.307617
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_boolean_expressions,151,78,0.516556
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_causal_judgement,143,67,0.468531
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_date_understanding,146,29,0.198630
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,39,0.268966
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_formal_fallacies,147,71,0.482993
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,37,0.253425
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,17,0.113333
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,44,0.299320
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,144,26,0.180556
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,151,14,0.092715
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,48,0.320000
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_web_of_lies,140,76,0.542857
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,folio,147,57,0.387755
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,reclor,141,27,0.191489
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,__overall__,300,81,0.270000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,arc_challenge,50,14,0.280000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,arc_easy,50,12,0.240000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,boolq,50,17,0.340000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,hellaswag,50,11,0.220000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,openbookqa,50,11,0.220000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,sciq,50,16,0.320000
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,__overall__,2048,661,0.322754
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_boolean_expressions,151,78,0.516556
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_causal_judgement,143,68,0.475524
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_date_understanding,146,27,0.184932
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,52,0.358621
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_formal_fallacies,147,76,0.517007
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,33,0.226027
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,23,0.153333
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,49,0.333333
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,144,27,0.187500
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,151,21,0.139073
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,49,0.326667
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_web_of_lies,140,82,0.585714
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,folio,147,51,0.346939
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,reclor,141,25,0.177305
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,__overall__,300,92,0.306667
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,arc_challenge,50,16,0.320000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,arc_easy,50,11,0.220000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,boolq,50,25,0.500000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,hellaswag,50,11,0.220000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,openbookqa,50,11,0.220000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,sciq,50,18,0.360000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,__overall__,2048,611,0.298340
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_boolean_expressions,151,71,0.470199
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_causal_judgement,143,72,0.503497
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_date_understanding,146,32,0.219178
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,42,0.289655
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_formal_fallacies,147,72,0.489796
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,26,0.178082
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,21,0.140000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,43,0.292517
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,144,22,0.152778
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,151,20,0.132450
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,47,0.313333
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_web_of_lies,140,70,0.500000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,folio,147,50,0.340136
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,reclor,141,23,0.163121
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,__overall__,300,97,0.323333
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,arc_challenge,50,20,0.400000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,arc_easy,50,12,0.240000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,boolq,50,28,0.560000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,hellaswag,50,10,0.200000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,openbookqa,50,10,0.200000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,sciq,50,17,0.340000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,__overall__,2048,635,0.310059
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_boolean_expressions,151,72,0.476821
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_causal_judgement,143,71,0.496503
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_date_understanding,146,22,0.150685
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_disambiguation_qa,145,50,0.344828
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_formal_fallacies,147,71,0.482993
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,146,24,0.164384
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,150,26,0.173333
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,147,46,0.312925
